"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.720056507E1,-5.885064602E-3,-1.305794001E0,3.507225037E0
2.730056507E1,-5.451520681E-1,-2.405348063E0,3.164026260E0
2.740056507E1,-1.840597987E-1,-1.639990568E0,-2.192392349E-1
2.750056514E1,4.543587863E-1,5.194905400E-1,-3.121265411E0
2.760056514E1,-8.013838530E-2,-2.222688794E-1,-1.146523476E0
2.770056514E1,2.343215942E-1,-9.613770247E-1,2.289991379E0
2.780056514E1,-1.149781942E-1,-2.641242027E0,4.740015984E0
2.790056514E1,5.512038469E-1,-1.607066154E0,-3.952884674E-2
2.800056514E1,5.292726755E-1,1.000928283E-1,-3.495189667E0
2.810056514E1,3.405002356E-1,3.511862159E-1,-7.840938568E-1
2.820056514E1,-1.696493030E-1,-3.823100328E-1,2.998585701E0
2.830056514E1,-1.363397837E-1,-2.336538076E0,5.127939224E0
2.840056514E1,2.434703708E-1,-1.268553495E0,2.332878113E-1
2.850056514E1,-8.123582602E-1,-1.242111921E-1,-3.507762432E0
2.860056517E1,-3.129646182E-1,-1.119756699E-2,-8.636074066E-1
2.870056524E1,9.485445023E-1,-4.167690277E-1,2.096864700E0
2.880056524E1,8.475088477E-1,-2.389117241E0,4.457285881E0
2.890056524E1,5.910688639E-1,-1.687226295E0,3.573513031E-1
2.900056524E1,-1.600400805E-1,-7.570362091E-2,-3.021122456E0
2.910056537E1,4.678788185E-1,5.785297155E-1,-1.891742706E0
2.920056537E1,6.128268242E-1,-6.448699832E-1,2.000274658E0
2.930056534E1,-6.045004725E-1,-1.551072001E0,3.187939644E0
2.940056534E1,-3.790198267E-1,-1.874831200E0,1.033099174E0
2.950056534E1,-1.621104777E-1,2.977247834E-1,-2.971823692E0
2.960056534E1,3.717195988E-2,1.073579788E-1,-1.926767349E0
2.970056460E1,1.333091557E-1,-1.108651042E0,1.660814285E0
2.980056460E1,1.798389435E0,-1.701251745E0,3.814729691E0
2.990056460E1,4.948322773E-1,-1.667965889E0,3.425483704E-1
3.000056460E1,2.140000165E-1,2.370947599E-2,-3.463931084E0
3.010056547E1,-1.345878839E-1,3.048010468E-1,-1.634650230E0
3.020056547E1,7.647907734E-1,2.776491642E-1,3.951559067E-1
3.030056547E1,1.768604755E0,-6.627083421E-1,2.724677086E0
3.040056547E1,5.089553595E-1,-1.263742447E0,-2.436494827E-1
3.050056533E1,-7.976917028E-1,5.561888218E-2,-2.048075676E0
3.060056533E1,-3.372128606E-1,-2.902244329E-1,-2.173099518E-1
3.070056533E1,-4.456552267E-1,-1.226700783E0,2.254330635E0
3.080056533E1,5.737703443E-1,-1.322379351E0,2.533458710E0
3.090056533E1,1.298544168E0,-1.697480679E0,1.273906708E0
3.100056533E1,2.739903331E-1,4.015493393E-1,-3.418598175E0
3.110056533E1,4.654047191E-1,-3.462493420E-2,-2.276122093E0
3.120056533E1,1.389726877E0,-1.222159147E0,8.990516663E-1
3.130056533E1,1.840569675E-1,-1.975870252E0,4.139318466E0
3.140056533E1,-1.005025804E-1,-3.258278966E-1,-6.874694824E-1
3.150056533E1,-9.279072285E-2,-3.213879466E-1,-3.104060173E0
3.160056553E1,-8.715871722E-2,3.898680210E-1,-9.495801926E-1
3.170056550E1,-1.709255874E-1,-1.272979736E0,2.328945160E0
3.180056550E1,9.555874467E-1,-5.619525909E-1,1.366024017E0
3.190056550E1,7.962193489E-1,-1.885632753E0,6.066980362E-1
3.200056550E1,1.237800196E-1,5.410505533E-1,-2.251126289E0
3.210056557E1,4.757844210E-1,8.052200079E-2,-1.951650620E0
3.220056557E1,8.989860862E-2,-3.207544684E-1,1.373954773E0
3.230056567E1,4.728406668E-2,-1.194530487E0,3.621260643E0
3.240056563E1,-1.541961730E-1,-1.898061991E0,1.665817261E0
3.250056563E1,-3.224533200E-1,1.361042857E-1,-3.167421818E0
3.260056563E1,-4.519321620E-1,-3.001686335E-1,-1.090736389E0
3.270056550E1,-6.526601315E-2,-1.086343050E0,9.727249146E-1
3.280056550E1,1.170509338E0,-1.391408682E0,2.032245636E0
3.290056550E1,1.915361643E0,-1.048544645E0,7.089309692E-1
3.300056550E1,7.349684834E-1,-3.851652145E-2,-3.149444580E0
3.310056496E1,6.648693681E-1,2.511314154E-1,-1.658306122E0
3.320056500E1,-1.073265076E-1,2.170165777E-1,1.276689529E0
3.330056500E1,-6.796457767E-1,-5.182970166E-1,2.835089684E0
3.340056500E1,4.425091147E-1,-8.889436126E-1,4.930725098E-1
3.350056500E1,1.050697088E0,-1.951420903E-1,-3.135775089E0
3.360056500E1,1.244525313E-1,2.232450247E-2,-1.409629822E0
3.370045244E1,3.248106539E-1,-1.189824939E0,1.362820625E0
3.380045244E1,1.689347625E-2,-2.874226570E-1,1.771848679E0
3.390045244E1,7.936753631E-1,-1.402758479E0,-5.690145493E-1
3.400045244E1,-1.915427744E-1,-3.252773285E-1,-1.946224213E0
3.410045244E1,3.424360156E-1,2.688296437E-1,-2.027752399E0
3.420045247E1,6.908943653E-1,-2.708486319E-1,6.048879623E-1
3.430045247E1,-3.625565767E-1,-4.665107131E-1,3.554382324E-1
3.440045247E1,1.072019339E-3,-1.941508055E0,2.235340118E0
3.450045247E1,-2.223235965E-1,2.051481009E-1,-1.548227310E0
3.460045224E1,-6.115225554E-1,1.604596376E-1,-1.626795769E0
3.470045224E1,-2.673940659E-1,2.230584621E-3,3.501129150E-2
3.480045224E1,3.973668814E-1,-5.525622964E-1,8.517904282E-1
3.490045224E1,2.332373381E0,-2.737272739E0,6.207370758E-1
3.500045224E1,3.048173189E-1,-5.987592340E-1,-6.282129288E-1
3.510045214E1,7.254973650E-1,8.985042572E-1,-2.315936089E0
3.520045214E1,2.195838094E-1,4.113705158E-1,3.097209930E-1
3.530045207E1,-1.844404638E-1,-2.890729904E-1,2.461796761E0
3.540045207E1,-1.515687227E0,-1.978172421E0,2.781993866E0
3.550045207E1,-2.255567908E-2,-1.129462361E0,-3.430852890E-1
3.560045204E1,-2.440866232E-1,9.438985586E-2,-2.381967068E0
3.570045204E1,3.660976887E-1,-2.149897814E-1,-1.280916214E0
3.580045204E1,-3.487247527E-1,-8.646354675E-1,1.952014923E0
3.590045204E1,-1.918609142E-1,-1.603077650E0,3.456165314E0
3.600041870E1,-5.703856051E-2,-9.903630614E-1,4.030027390E-1
3.610038504E1,-2.751978040E-1,4.502587318E-1,-2.420563698E0
3.620035167E1,-9.046921134E-2,2.151899934E-1,-5.701694489E-1
3.630031833E1,1.676908135E-2,-6.304644942E-1,2.337986946E0
3.640028497E1,4.484254122E-2,-1.450426340E0,2.846268654E0
3.650025163E1,4.296492934E-1,-1.066475511E0,6.506853104E-1
3.660021830E1,-4.071109295E-1,2.125851810E-1,-3.251302242E0
