"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.556783017E2,5.934626753E1,1.806077547E1,4.611128605E0,1.513573289E0,5.956884766E1,8.000000000E0,3.000000000E0
1.566882340E2,5.934627438E1,1.806080288E1,4.994811208E0,1.527464747E0,6.173562622E1,6.000000000E0,3.000000000E0
1.576719932E2,5.934627745E1,1.806082839E1,5.044424000E0,1.521629095E0,6.095852280E1,6.000000000E0,3.000000000E0
1.586833614E2,5.934628302E1,1.806085995E1,4.963094974E0,1.547557592E0,6.326770782E1,6.000000000E0,3.000000000E0
1.596715220E2,5.934629014E1,1.806088914E1,4.676678447E0,1.568071246E0,6.281485367E1,6.000000000E0,3.000000000E0
1.606692099E2,5.934629541E1,1.806091864E1,4.118181717E0,1.582125068E0,6.499965668E1,6.000000000E0,3.000000000E0
1.616800548E2,5.934629910E1,1.806094862E1,4.273395157E0,1.594161510E0,6.331994629E1,6.000000000E0,3.000000000E0
1.626937449E2,5.934630451E1,1.806097405E1,4.291961269E0,1.586881399E0,6.333670044E1,6.000000000E0,3.000000000E0
1.636758464E2,5.934630787E1,1.806099610E1,4.375665737E0,1.560269594E0,6.373072052E1,6.000000000E0,3.000000000E0
1.646833252E2,5.934631552E1,1.806102475E1,4.281908592E0,1.577767611E0,6.468545532E1,4.000000000E0,3.000000000E0
1.656867358E2,5.934632373E1,1.806105212E1,4.516051497E0,1.592322111E0,6.293696976E1,4.000000000E0,3.000000000E0
1.666792893E2,5.934633217E1,1.806108528E1,4.990786612E0,1.630566120E0,6.279636383E1,4.000000000E0,3.000000000E0
1.676813785E2,5.934633830E1,1.806110977E1,4.971875567E0,1.621326447E0,6.158053970E1,4.000000000E0,3.000000000E0
1.686770353E2,5.934634418E1,1.806113159E1,4.959065960E0,1.606907368E0,6.129331970E1,6.000000000E0,3.000000000E0
1.696802269E2,5.934635224E1,1.806115900E1,4.916496552E0,1.619893909E0,5.448526764E1,6.000000000E0,3.000000000E0
1.706798627E2,5.934635761E1,1.806117924E1,4.993773493E0,1.591131330E0,6.191134644E1,6.000000000E0,3.000000000E0
1.716823124E2,5.934636530E1,1.806120646E1,5.060390653E0,1.599968672E0,5.644352341E1,6.000000000E0,3.000000000E0
1.726873558E2,5.934637289E1,1.806122722E1,4.903199632E0,1.585521936E0,5.472170639E1,6.000000000E0,3.000000000E0
1.736774710E2,5.934638156E1,1.806124973E1,4.845061273E0,1.582025766E0,4.994707870E1,6.000000000E0,3.000000000E0
1.746755870E2,5.934638597E1,1.806127180E1,4.683996990E0,1.564935684E0,5.993535995E1,6.000000000E0,3.000000000E0
1.756823788E2,5.934639112E1,1.806130291E1,4.623962595E0,1.587878108E0,6.299920654E1,6.000000000E0,3.000000000E0
1.766867203E2,5.934639889E1,1.806132987E1,4.741635932E0,1.597268343E0,6.241014862E1,6.000000000E0,3.000000000E0
1.776835428E2,5.934640056E1,1.806135532E1,4.722166958E0,1.578479528E0,6.877767181E1,6.000000000E0,3.000000000E0
1.786809898E2,5.934640191E1,1.806137998E1,4.609620558E0,1.559808016E0,6.921926117E1,6.000000000E0,3.000000000E0
1.796740032E2,5.934640803E1,1.806140975E1,4.680595081E0,1.580363512E0,6.275758743E1,6.000000000E0,3.000000000E0
1.806897519E2,5.934641175E1,1.806144686E1,4.741126730E0,1.622000217E0,6.505196381E1,6.000000000E0,3.000000000E0
1.816635556E2,5.934641740E1,1.806146001E1,4.621073032E0,1.566589355E0,6.570650482E1,6.000000000E0,3.000000000E0
1.826836311E2,5.934642041E1,1.806147551E1,4.664560052E0,1.510645628E0,6.567711639E1,6.000000000E0,3.000000000E0
1.836848163E2,5.934642912E1,1.806149578E1,4.315683161E0,1.497994304E0,6.064268875E1,6.000000000E0,3.000000000E0
1.846849528E2,5.934643110E1,1.806151007E1,4.509534418E0,1.439440131E0,6.415794373E1,6.000000000E0,3.000000000E0
1.856773101E2,5.934643399E1,1.806153116E1,4.524632404E0,1.413383961E0,6.576910400E1,6.000000000E0,3.000000000E0
1.866675619E2,5.934643901E1,1.806154953E1,3.637487886E0,1.385747671E0,6.671920013E1,6.000000000E0,3.000000000E0
1.876809363E2,5.934644279E1,1.806156336E1,3.737129317E0,1.337346792E0,6.789228058E1,6.000000000E0,3.000000000E0
1.886808379E2,5.934644615E1,1.806157300E1,3.857077854E0,1.153984547E0,6.789228058E1,6.000000000E0,3.000000000E0
1.896757566E2,5.934644892E1,1.806157589E1,4.068989004E0,9.036259055E-1,6.789228058E1,6.000000000E0,3.000000000E0
1.906831709E2,5.934645022E1,1.806157601E1,4.088220187E0,5.309430137E-2,6.789228058E1,6.000000000E0,3.000000000E0
1.916890751E2,5.934645147E1,1.806157011E1,4.116939038E0,7.108321879E-3,6.789228058E1,6.000000000E0,3.000000000E0
1.926835156E2,5.934645334E1,1.806156714E1,4.117892385E0,1.815651776E-3,6.789228058E1,6.000000000E0,3.000000000E0
1.936701199E2,5.934645340E1,1.806156697E1,4.161595401E0,6.638044957E-3,6.789228058E1,6.000000000E0,3.000000000E0
1.946800262E2,5.934645994E1,1.806155854E1,4.138629756E0,1.147354394E-2,6.789228058E1,6.000000000E0,3.000000000E0
1.956789825E2,5.934647574E1,1.806154880E1,3.920070789E0,5.987002254E-1,3.385103149E2,6.000000000E0,3.000000000E0
1.966755951E2,5.934649144E1,1.806154012E1,4.101854239E0,1.102643132E0,3.322993164E2,6.000000000E0,3.000000000E0
1.976826751E2,5.934650720E1,1.806152888E1,3.993573894E0,1.387505054E0,3.434624329E2,6.000000000E0,3.000000000E0
1.986902390E2,5.934652086E1,1.806151604E1,4.059288256E0,1.490695357E0,3.385497131E2,6.000000000E0,3.000000000E0
1.996711478E2,5.934653372E1,1.806150249E1,3.918474999E0,1.534029365E0,3.401474609E2,6.000000000E0,3.000000000E0
2.006683973E2,5.934654417E1,1.806148921E1,4.123621168E0,1.502365470E0,3.330331116E2,6.000000000E0,3.000000000E0
2.016677335E2,5.934655792E1,1.806147853E1,4.240446167E0,1.529181004E0,3.352019958E2,6.000000000E0,3.000000000E0
2.026830269E2,5.934657176E1,1.806146517E1,4.848093280E0,1.555218816E0,3.356564026E2,6.000000000E0,3.000000000E0
2.036889981E2,5.934658362E1,1.806145285E1,4.855448268E0,1.544929743E0,3.354963074E2,6.000000000E0,3.000000000E0
2.046810892E2,5.934659644E1,1.806143682E1,4.738231282E0,1.561551929E0,3.357219849E2,6.000000000E0,3.000000000E0
2.056718680E2,5.934660754E1,1.806142098E1,4.674451719E0,1.554393530E0,3.302748413E2,6.000000000E0,3.000000000E0
2.066812023E2,5.934661986E1,1.806140673E1,4.685961898E0,1.556259394E0,3.302525635E2,6.000000000E0,3.000000000E0
2.076859995E2,5.934663274E1,1.806139039E1,4.837040964E0,1.569515467E0,3.269067688E2,6.000000000E0,3.000000000E0
2.086821665E2,5.934664552E1,1.806137378E1,4.893164853E0,1.581269503E0,3.242796936E2,4.000000000E0,3.000000000E0
2.096800713E2,5.934665730E1,1.806135505E1,4.898554742E0,1.587379336E0,3.243522644E2,4.000000000E0,3.000000000E0
2.106826640E2,5.934666762E1,1.806133996E1,4.926239062E0,1.563961148E0,3.238887329E2,4.000000000E0,3.000000000E0
2.116719452E2,5.934668532E1,1.806132031E1,4.880339195E0,1.609760046E0,3.246867371E2,4.000000000E0,3.000000000E0
