"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.954156531E1,-1.193999958E1,-6.539999962E0,-3.936000061E1
2.964156530E1,-1.121999931E1,-6.239999771E0,-3.965999985E1
2.974156530E1,-1.247999954E1,-8.399999619E0,-3.395999908E1
2.984156531E1,-1.421999931E1,-1.085999966E1,-3.089999962E1
2.994156530E1,-1.038000011E1,-5.519999981E0,-4.170000076E1
3.004156531E1,-8.639999390E0,-2.519999981E0,-4.404000092E1
3.014156530E1,-7.500000000E0,-2.399999857E0,-4.307999802E1
3.024156530E1,-3.779999971E0,-1.259999990E0,-4.481999969E1
3.034156531E1,-1.559999943E0,-7.799999714E-1,-4.757999802E1
3.044156530E1,-3.539999962E0,-1.979999900E0,-4.218000031E1
3.054156531E1,2.039999962E0,3.000000000E0,-4.950000000E1
3.064156530E1,3.299999952E0,8.999999762E-1,-4.973999786E1
3.074156530E1,3.059999943E0,-5.819999695E0,-4.193999863E1
3.084156531E1,3.959999800E0,-8.099999428E0,-4.961999893E1
3.094156530E1,2.879999876E0,-9.899999619E0,-4.536000061E1
3.104156531E1,4.559999943E0,-8.159999847E0,-5.207999802E1
3.114156530E1,1.740000010E0,-1.211999989E1,-5.027999878E1
3.124156530E1,7.799999714E-1,-1.446000004E1,-5.159999847E1
3.134156531E1,-1.919999957E0,-1.469999981E1,-4.781999969E1
3.144156530E1,-1.200000000E1,-2.357999992E1,-2.489999962E1
3.154156531E1,-2.303999901E1,-3.377999878E1,-4.500000000E0
3.164156530E1,-2.693999863E1,-3.773999786E1,2.579999924E0
3.174156530E1,-2.460000038E1,-3.593999863E1,-5.639999866E0
3.184156531E1,-2.363999939E1,-3.575999832E1,-3.419999838E0
3.194156530E1,-2.376000023E1,-3.461999893E1,-5.999999866E-2
3.204156530E1,-2.777999878E1,-3.684000015E1,-1.259999990E0
3.214156530E1,-2.129999924E1,-3.347999954E1,-6.000000000E0
3.224156530E1,-2.063999939E1,-3.593999863E1,-3.899999857E0
3.234156530E1,-1.950000000E1,-3.893999863E1,-5.159999847E0
3.244156531E1,-2.195999908E1,-4.307999802E1,3.959999800E0
3.254156530E1,-1.818000031E1,-4.115999985E1,1.139999986E0
3.264156530E1,-1.097999954E1,-3.197999954E1,-1.865999985E1
3.274156530E1,-1.937999916E1,-4.259999847E1,-3.959999800E0
3.284156530E1,-1.296000004E1,-3.863999939E1,-1.230000019E1
3.294156531E1,-1.734000015E1,-4.193999863E1,-3.119999886E0
3.304156530E1,-1.955999947E1,-4.152000046E1,-3.359999895E0
3.314156530E1,-1.613999939E1,-4.097999954E1,-3.000000000E0
3.324156530E1,-1.163999939E1,-3.534000015E1,-1.889999962E1
3.334156530E1,-1.392000008E1,-3.809999847E1,-1.434000015E1
3.344156531E1,-1.529999924E1,-3.552000046E1,-1.523999977E1
3.354156530E1,-1.451999950E1,-3.234000015E1,-1.776000023E1
3.364156530E1,-1.811999893E1,-3.588000107E1,-1.296000004E1
3.374156530E1,-2.003999901E1,-3.468000031E1,-1.571999931E1
3.384156530E1,-1.926000023E1,-3.450000000E1,-1.373999977E1
3.394156531E1,-1.943999863E1,-3.486000061E1,-1.409999943E1
3.404156530E1,-1.710000038E1,-3.101999855E1,-1.889999962E1
3.414156530E1,-1.697999954E1,-2.868000031E1,-2.034000015E1
3.424156530E1,-1.631999969E1,-2.850000000E1,-2.429999924E1
3.434156530E1,-1.655999947E1,-2.921999931E1,-2.435999870E1
3.444156531E1,-1.787999916E1,-2.615999985E1,-2.351999855E1
3.454156530E1,-1.865999985E1,-2.585999870E1,-2.831999969E1
3.464156530E1,-1.547999954E1,-2.268000031E1,-3.113999939E1
3.474156530E1,-1.559999943E1,-2.327999878E1,-3.341999817E1
3.484156530E1,-1.463999939E1,-2.297999954E1,-3.479999924E1
3.494156531E1,-1.350000000E1,-2.171999931E1,-3.521999741E1
3.504156530E1,-1.493999958E1,-2.255999947E1,-3.197999954E1
3.514156530E1,-1.181999969E1,-1.871999931E1,-3.791999817E1
3.524156530E1,-1.235999966E1,-2.093999863E1,-3.497999954E1
3.534156530E1,-1.325999928E1,-2.376000023E1,-3.359999847E1
3.544156531E1,-1.169999981E1,-2.045999908E1,-3.539999771E1
3.554156530E1,-1.163999939E1,-1.926000023E1,-3.779999924E1
3.564156530E1,-1.259999943E1,-2.063999939E1,-3.245999908E1
3.574156530E1,-1.284000015E1,-2.202000046E1,-3.395999908E1
3.584156530E1,-1.313999939E1,-2.202000046E1,-3.539999771E1
3.594156531E1,-1.350000000E1,-1.992000008E1,-3.707999802E1
3.604156530E1,-1.367999935E1,-1.865999985E1,-3.839999771E1
3.614156530E1,-1.253999996E1,-2.039999962E1,-3.257999802E1
3.624156530E1,-1.277999973E1,-1.931999969E1,-3.875999832E1
3.634156530E1,-1.134000015E1,-2.076000023E1,-3.989999771E1
3.644156531E1,-1.050000000E1,-1.943999863E1,-4.002000046E1
3.654156530E1,-1.385999966E1,-1.968000031E1,-3.600000000E1
3.664156530E1,-1.613999939E1,-2.268000031E1,-2.855999947E1
3.674156530E1,-1.385999966E1,-1.943999863E1,-3.959999847E1
3.684156530E1,-1.253999996E1,-1.961999893E1,-4.037999725E1
3.694156531E1,-1.284000015E1,-1.865999985E1,-3.779999924E1
3.704156530E1,-1.271999931E1,-1.835999870E1,-4.002000046E1
3.714156530E1,-1.013999939E1,-1.752000046E1,-4.302000046E1
3.724156530E1,-1.001999950E1,-2.034000015E1,-4.163999939E1
3.734156530E1,-1.146000004E1,-2.279999924E1,-3.995999908E1
3.744156531E1,-1.217999935E1,-2.226000023E1,-3.870000076E1
3.754156530E1,-1.355999947E1,-2.219999886E1,-3.605999756E1
3.764156530E1,-1.350000000E1,-2.045999908E1,-3.959999847E1
3.774156530E1,-1.500000000E1,-2.105999947E1,-3.965999985E1
3.784156530E1,-1.571999931E1,-2.147999954E1,-3.900000000E1
